K10a,K10b,K10c,K11a,K11b,K11c,K12a,K12b,K12c,K13a,K13b,K13c,K14a,K14b,K14c,K15a,K15b,K15c,K16a,K16b ,K16c,K17a,K17c,K18a,K18b,K18c,K19a,K19b,K19d,K20a,K20b,K20c,K21a,K21b,K21c
0,0,1,0,0,0,1,2,2,1,2,0,0,0,0,0,0,0,1,2,3,3,4,0,1,0,1,1,0,0,0,1,0,0,0
6,6,7,4,2,3,10,10,8,3,2,5,3,2,2,8,5,6,5,3,4,8,3,3,3,2,3,1,1,3,2,1,1,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,3,1,5,9,4,4,2,3,2,1,2,3,2,2,1,4,3,4,11,3,5,5,6,3,5,2,3,5,3,3,3
0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,1,0,2,0,1,0,0,0,1,1,1,0,0,1,0,0
8,6,7,14,19,10,0,5,3,2,6,6,11,2,3,9,8,4,4,6,5,2,12,4,4,2,13,12,6,8,8,15,10,10,8
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,0,3,2,2,0,2,0,2,0,0,3,1,0,1,0,0,0,2,2,3,4,1,1,1,2,2,2,2,2,1,2,1,2
4,5,3,12,8,13,9,16,13,11,5,2,13,10,5,7,10,4,7,10,10,12,11,2,4,4,11,11,13,10,9,11,10,9,10
0,2,0,1,0,0,0,0,0,2,0,0,3,0,0,2,0,0,1,0,1,0,2,0,1,0,1,1,2,2,1,0,1,1,2
4,8,6,5,10,9,2,3,5,3,8,5,4,10,7,4,7,4,3,7,6,5,16,0,0,0,11,9,5,5,8,5,6,7,11
14,9,16,9,10,7,8,7,8,6,11,11,7,8,8,9,10,8,11,7,6,14,9,14,13,12,8,8,7,9,9,8,9,8,8
3,4,1,2,6,2,5,7,8,6,6,6,5,5,5,3,5,4,4,4,3,3,2,4,3,4,3,2,4,4,3,4,2,3,2
2,1,0,4,4,1,0,0,0,8,3,4,9,5,3,1,0,0,0,0,0,1,3,1,2,1,1,1,2,1,1,2,1,1,0
1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,2,1,1,2,3,1,0,0,0,0,2,1,1,2,3,2,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
6,5,1,11,11,11,15,12,12,11,8,2,16,10,9,8,6,5,10,11,10,18,24,9,11,14,12,13,10,11,11,11,14,13,11
2,1,2,2,1,1,3,1,2,1,1,1,1,2,2,5,4,4,5,4,5,1,1,4,3,3,1,1,1,1,2,1,2,1,1
17,13,18,11,10,14,17,15,19,14,22,22,13,16,19,19,17,22,11,12,12,4,6,2,2,2,15,14,12,13,16,14,13,13,16
13,15,14,13,13,15,12,17,16,16,19,20,13,16,17,12,15,20,12,13,19,16,16,14,15,14,16,14,9,9,10,12,12,13,9
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,1,1,2,1,2,2,3,2,4,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3,0,2,5,2,5,4,5,4,2,3,3,2,2,3,1,1,1,2,3,6,4,5,4,5,2,3,3,2,2,2,2,1,1
4,6,3,6,5,4,2,4,1,6,3,2,4,1,0,5,2,3,4,3,4,2,2,4,4,2,3,4,4,3,4,3,3,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1
8,10,9,8,5,8,7,5,6,5,3,4,4,2,3,4,7,7,4,4,4,1,2,3,4,6,1,2,2,0,0,2,2,2,1
0,1,0,1,2,2,2,2,1,1,1,0,2,0,1,2,0,1,1,2,3,2,2,1,1,2,2,1,2,2,2,1,2,2,1
3,9,1,16,12,9,1,4,1,18,12,5,17,4,7,7,3,2,5,16,16,21,27,7,6,5,18,21,15,11,8,17,9,12,8
0,2,0,2,1,0,0,3,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,2,1,0,1,1,2,2,0,1,1,1
4,5,2,1,1,2,2,3,4,4,8,4,1,1,0,3,3,3,0,3,5,2,5,2,3,2,2,3,4,4,4,2,3,4,4
0,2,0,1,4,1,0,1,0,2,0,0,2,0,1,1,0,0,1,4,3,3,6,0,2,1,1,1,2,1,1,1,2,1,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,2,3,2,1,1,1,1,0,3,1,0,2,0,1,0,1,1,4,0,0,5,3,3,2,2,5,2,4,7,4,3,4,5,3
2,2,4,5,7,7,19,21,15,3,3,4,7,9,8,21,12,10,33,37,32,12,13,26,32,25,41,41,35,41,36,40,43,42,38
0,0,0,2,2,3,3,3,2,0,0,0,2,2,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,5,1,1,2,0,4,0,0,0,0,0,1,0,1,2,5,5,5,9,0,1,1,4,0,1,0,0,1,1,0,1
4,3,3,2,3,5,8,8,12,11,7,14,4,5,3,6,9,6,8,10,7,5,10,4,2,2,11,6,8,7,7,7,9,9,7
11,9,4,10,10,7,19,17,14,13,15,18,11,10,14,12,11,12,10,12,15,11,11,9,11,8,14,14,15,19,14,17,19,17,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,2,1,3,3,2,3,4,2,1,2,0,1,2,2,1,2,2,1,2,1,0,0,0,1,1,4,1,2,1,3,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,9,7,6,4,3,1,7,5,2,8,6,8,11,3,10,8,7,4,5,0,2,0,2,2,5,4,6,3,2,4,3,2,2
3,3,3,1,4,2,3,6,3,5,2,3,2,4,3,2,4,5,3,7,5,1,1,2,4,5,3,2,2,3,2,3,2,2,2
0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,1,1,0,0,1,0,3,1,4,0,0,1,0,0,0,4,7,5,6,6,2,5,4,3,2,4,2,1,0,4,4,3
1,2,1,0,0,0,0,1,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1
3,3,2,2,2,4,2,2,1,1,1,2,2,3,6,2,4,4,2,1,2,5,4,5,2,2,2,2,2,1,2,1,2,1,1
1,3,2,1,6,0,4,8,1,12,6,4,8,4,0,3,1,3,2,9,10,8,15,5,4,4,7,5,6,2,4,4,4,6,4
2,2,3,3,0,0,2,3,2,6,2,3,3,4,2,4,3,4,6,5,5,7,5,5,5,5,4,3,2,3,2,2,4,4,2
0,0,0,2,1,0,0,1,1,1,1,0,0,1,1,1,0,2,1,1,2,0,0,1,0,1,2,1,3,1,2,1,1,1,2
0,1,0,1,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,0,1,0,0,0,0
1,1,1,3,2,1,1,0,1,2,1,1,1,1,1,2,2,3,0,0,1,0,0,0,0,0,1,1,4,1,2,1,2,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
10,17,9,10,25,11,19,25,20,34,22,21,19,11,12,18,27,18,15,22,26,26,31,7,21,21,23,26,16,12,11,20,16,12,10
1,0,1,2,1,0,2,3,1,3,0,0,0,0,0,1,1,1,1,1,1,2,2,1,0,1,4,3,3,4,4,2,4,4,5
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,19,40,17,15,26,1,1,0,3,2,3,8,17,60,2,2,1,5,9,9,5,8,14,12,12,7,7,2,1,0,8,4,0,0
2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,13,21,21,21,27,140,105,132,13,27,31,20,26,47,136,130,109,108,35,34,50,19,48,29,28,33,30,25,33,32,34,33,32,30
0,1,0,2,2,1,0,0,0,4,1,0,3,0,0,1,0,0,0,2,3,0,1,2,1,2,0,1,2,1,0,0,2,0,1
7,5,4,15,10,6,9,9,4,12,12,8,10,9,7,15,7,9,7,3,3,10,9,5,4,3,3,3,7,4,3,3,4,3,3
14,14,11,16,16,18,29,31,32,37,33,30,28,23,17,23,15,10,18,26,27,34,38,10,12,11,30,29,30,32,30,33,30,31,26
1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2
0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1,8,4,4,8,6,5,12,9,2,8,4,2,8,4,4,5,6,4,12,9,4,0,3,3,5,6,3,5,4,6,4,6
8,8,10,6,5,5,4,1,2,4,4,4,3,6,8,5,4,4,3,3,3,7,5,2,3,2,5,4,4,6,6,5,6,7,7
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1,1,0,4,2,3,1,1,0,2,2,1,1,2,2,1,0,1,11,8,3,3,3,6,2,5,2,1,4,1,1,2,1,1,1
13,13,13,10,7,8,7,7,9,7,9,8,13,11,9,9,10,8,13,16,16,20,24,7,8,9,13,15,16,17,14,18,15,18,19
2,8,5,7,9,7,5,1,4,7,3,3,7,7,6,6,7,4,1,1,0,2,1,3,2,2,2,3,5,1,1,1,1,3,3
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4,3,2,4,0,0,0,5,3,6,3,4,4,4,4,5
0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,2
2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,3
9,6,5,8,5,8,15,12,12,9,4,8,8,6,9,18,16,22,11,10,6,15,17,10,13,10,15,15,12,17,14,14,14,15,13
7,6,4,4,6,7,10,8,8,11,8,8,14,9,9,8,7,9,5,5,4,12,13,5,10,6,4,4,4,6,5,6,5,4,4
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,1,2,4,2,3,2,2,2,0,1,0,0,0,1,1,0,2,3,1,0,0,1,0,1,2,2,1,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,5,9,11,10,3,8,4,8,10,3,11,5,1,5,5,2,16,13,12,1,3,5,12,10,10,11,11,11,12,10,12,10,9
8,11,16,12,13,16,14,16,21,12,14,18,15,13,19,10,20,14,12,14,14,12,14,6,12,11,13,12,14,12,12,13,13,12,13
2,2,3,3,1,1,3,3,2,2,2,2,1,1,1,4,2,2,1,1,2,4,3,0,0,0,1,2,1,1,1,0,2,2,1
4,6,2,2,4,3,8,6,6,10,8,6,6,1,3,7,4,4,6,6,7,7,11,5,5,4,9,9,12,9,9,11,7,8,6
4,3,2,2,4,2,4,3,2,0,1,3,1,2,1,2,1,0,3,4,4,5,5,2,3,4,4,4,4,6,3,2,3,3,3
5,2,0,9,7,4,4,1,3,11,7,3,9,4,2,11,8,8,0,1,0,1,2,2,1,1,3,3,8,5,6,3,6,5,4
3,2,0,5,3,7,4,4,2,2,3,1,3,4,4,3,2,0,1,2,1,3,6,1,0,0,2,3,3,1,3,1,1,2,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,1,1,1,1,2,2,1,0,0,1,0,0,2,0,1,0,1,1,0,0,0,1,2,1,0,3,2,2,2,3,0,1
1,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,2,5,3,2,0,1,7,3,2,4,2,2,1,2,1,2,2,1,4,4,1,0,0,2,2,3,1,0,2,2,3,1
3,1,0,3,3,2,6,2,3,1,0,1,1,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,4,4,8,2,2,2,1,1,1,5,4,4,2,2,3,1,1,2,0,0,3,2,3,2,2,2,2,2,2,2,2,2
1,1,1,0,0,0,1,0,0,2,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,18,25,44,57,42,25,33,29,40,28,36,41,32,43,30,34,39,25,37,29,44,52,51,50,47,29,35,25,32,33,32,33,36,31
3,3,1,1,0,0,2,0,2,2,2,1,0,0,0,0,1,0,1,2,2,0,1,0,0,1,1,1,1,1,3,1,2,1,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,2,0,2,3,3,2,1,0,2,1,0,2,0,0,0,0,0,4,5,0,0,1,1,1,1,0,0,1,2,0,0
9,9,7,10,14,10,27,25,26,21,18,16,20,17,19,20,17,18,24,26,23,17,21,16,15,14,23,23,24,21,24,17,25,20,19
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,2,1,1,2,0,3,2,1,2,2,1,3,0,0,2,0,1,1,1,3,2,1,1,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,4,3,1,2,2,3,4,7,4,3,4,4,4,4,1,2,2,4,3,8,9,4,5,5,3,3,3,1,2,2,3,2,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,2,0,1,0,0,0,0,1,0,1,0,1,2,0,0
0,0,0,2,1,1,1,0,1,0,0,0,0,0,3,1,0,1,2,4,3,0,0,0,0,0,2,2,2,2,3,2,2,2,2
3,3,2,3,2,2,1,2,1,3,2,0,4,2,1,2,1,0,3,4,3,2,2,1,0,0,4,5,4,5,5,3,4,5,5
0,0,0,1,0,1,1,0,1,0,0,1,5,1,1,0,0,1,0,2,0,1,1,0,1,0,2,0,1,2,2,1,2,2,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,1,1,1,1,1,3,0,0,0,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1,2,1,1,1,1
3,3,3,4,3,3,4,3,4,5,3,3,5,4,3,3,3,3,2,3,3,3,5,1,2,3,3,3,4,3,6,4,3,3,4
2,0,0,1,4,1,3,4,3,5,1,0,3,2,1,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,9,16,8,9,13,18,8,12,9,18,34,6,17,17,10,21,29,14,5,5,9,8,5,3,4,8,6,4,6,7,5,6,7,7
0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1,2,1,1,1,1,0,2,1,1,2,2,1,2,1,1,0,0,2,2,2,1,1,2,2,1,1
1,3,2,3,4,0,0,0,1,3,4,1,2,1,0,3,1,0,0,3,3,2,3,2,2,2,1,2,2,3,1,2,0,1,4
0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,1,1,1,0,1
6,5,6,6,5,3,8,7,9,6,9,5,5,6,5,9,7,9,6,6,6,9,7,5,9,8,7,5,3,8,7,8,9,9,9
12,14,10,16,20,17,12,12,13,13,14,11,11,12,11,13,13,14,12,16,15,15,16,10,9,6,13,16,13,12,13,13,13,17,14
1,1,0,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3,3,2,1,0,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,2,2,2,3,2
5,9,8,17,18,22,15,16,15,13,15,15,14,16,10,23,19,20,28,28,25,21,20,3,4,5,23,23,25,23,23,22,25,25,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
5,7,7,16,14,11,12,15,9,19,14,9,16,16,13,15,11,12,16,21,16,7,16,10,10,12,19,15,17,10,11,15,9,11,8
0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,2,0,0,0,1,0,1
0,0,0,0,1,0,1,2,1,2,0,1,1,0,1,1,0,0,0,1,1,2,1,0,0,0,3,4,6,4,5,5,5,6,5
0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
15,12,9,6,6,4,9,8,8,9,5,4,6,3,3,10,5,6,8,8,6,5,4,7,12,10,3,3,4,3,1,4,3,1,2
1,1,2,4,2,1,1,1,1,0,0,1,1,2,2,0,0,0,1,1,1,2,1,1,2,2,0,1,0,0,0,0,1,0,1
2,2,1,2,2,2,1,0,0,2,3,1,1,3,2,2,3,4,2,2,2,3,4,4,2,3,2,1,1,2,3,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,1,6,3,1,2,0,1,8,3,0,8,3,2,1,0,0,4,3,4,5,7,4,4,2,1,1,3,4,2,1,2,1,5
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,53,89,71,75,89,53,53,54,38,53,43,53,70,66,57,47,40,47,42,50,56,47,41,41,47,45,45,40,49,50,50,48,51,52
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
29,19,30,19,22,27,14,17,16,14,38,38,20,29,39,11,21,19,18,18,20,25,17,22,15,15,15,12,11,13,14,10,16,14,14
3,2,4,2,2,3,6,3,6,2,3,6,2,4,5,4,6,6,6,2,3,5,4,3,3,3,2,2,2,2,2,2,2,2,2
42,37,43,51,53,53,58,53,63,39,66,76,37,54,60,50,59,64,60,50,51,53,53,45,52,49,36,35,30,39,33,33,36,41,36
0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0
2,5,1,7,6,6,2,1,1,3,0,0,6,1,0,3,2,0,0,4,1,1,6,0,2,1,2,2,2,3,3,1,2,1,1
0,0,0,0,0,0,1,0,0,2,2,1,1,0,0,1,0,0,3,4,4,1,1,1,1,1,2,3,4,3,3,5,2,2,2
46,61,66,89,100,70,82,100,83,79,76,73,90,71,82,78,74,73,97,118,111,71,105,107,114,103,105,109,97,102,103,105,104,106,99
4,7,3,8,8,5,10,10,7,7,6,4,4,5,2,5,9,7,4,7,6,5,10,4,5,3,7,5,8,4,6,6,5,6,8
0,0,0,2,2,1,2,3,2,2,0,0,2,0,0,2,0,1,2,2,2,0,0,4,4,3,1,1,1,1,1,1,1,1,0
0,0,0,1,0,1,0,1,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,0,0,1,2,2,1,2
0,3,4,5,5,2,1,1,0,7,4,3,7,4,2,2,1,1,3,7,4,4,7,1,1,0,7,5,5,3,3,8,6,5,3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,3,2,2,0,0,0,0,2,0,0,0,0,0,0
0,1,0,1,1,1,3,2,1,2,1,2,2,2,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,1,5,4,5,2,5,3,5,3,2,5,4,4,5,0,0,0,4,3,0,1,1,2,2,5,5,4,5,4,4,6,5,4
1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
16,18,15,19,24,22,22,20,20,18,16,18,20,16,16,21,17,20,15,16,18,17,18,11,13,16,17,17,15,14,16,19,16,18,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,1,0,3,1,0,4,4,6,2,1,1,2,0,0,7,2,2,0,2,1,5,4,2,2,2,4,2,3,2,4,1,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,3,3,0,3,4,1,3,1,1,2,1,0,4,2,2,2,2,2,2,3,0,2,2,2,3,2,2,3,2,1,3,2
1,2,1,2,3,4,1,1,1,0,1,1,1,1,1,1,1,2,0,0,1,0,0,0,0,0,2,3,1,2,3,2,2,1,2
0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,4,7,8,5,7,6,6,6,6,4,10,8,5,9,2,1,7,6,3,5,5,5,8,3,5,4,9,7,6,5,6,7,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,2,4,3,4,3,6,5,6,4,3,1,4,5,3,3,3,1,2,2,3,4,5,2,1,1,1,1,3,1,2,1,1,2,2
0,0,0,2,2,2,10,12,9,0,0,0,2,0,2,27,20,24,2,1,1,0,0,0,0,0,1,1,2,1,1,1,2,1,1
0,1,0,0,1,0,1,2,1,1,1,1,1,0,0,2,0,0,3,2,2,0,0,1,2,1,4,4,5,3,4,4,4,4,3
1,1,1,2,1,2,6,6,5,4,2,0,2,0,0,4,2,0,0,0,0,1,3,0,4,2,1,1,3,0,1,1,1,1,1
0,0,0,1,1,1,0,0,1,1,0,2,1,1,3,0,0,0,2,1,1,1,0,0,0,0,1,2,2,0,2,1,2,2,2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,2,2,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,2
4,1,1,5,5,4,5,3,5,4,4,2,3,6,7,2,6,5,4,3,2,4,6,4,1,2,4,6,5,4,4,3,4,4,4
2,5,4,4,3,5,1,2,0,6,7,7,3,4,2,1,2,2,3,3,2,6,7,1,0,0,5,5,4,6,5,5,4,3,6
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,3,3,2,3,2,2,4,5,2,6,4,3,2,0,0,1,2,2,2,3,3,4,3,3,3,2,2,2,3,2,2,2
1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,5,8,7,6,4,4,1,8,3,3,6,4,4,5,3,0,4,7,8,9,9,7,6,1,7,11,8,11,12,9,8,7,12
2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,2,2,0,0,0,1,0,0,1,0,0,0,0,1
1,1,0,1,2,1,1,1,1,3,1,0,1,0,0,1,0,0,1,2,1,1,4,1,0,1,2,2,1,2,2,2,2,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
1,1,0,2,1,0,0,1,0,2,0,0,0,0,0,1,1,0,6,4,3,2,2,0,1,2,4,3,5,4,4,4,5,5,4
20,16,17,21,30,30,28,22,34,16,25,17,19,31,36,29,52,52,17,22,17,29,32,9,9,8,26,29,23,25,25,30,26,27,26
